genome_id	genome_group_id
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_mixture1_cov10000
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_mixture1_cov10000
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_mixture1_nopure
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_mixture1_nopure
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_mixture1_cov1000
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_mixture1_cov1000
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_2strains
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_2strains
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_2strains_tiles_k111
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_2strains_tiles_k111
Bacteroides-thetaiotaomicron-1-1-6_MAF-2	btheta_2strains_wgs
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2	btheta_2strains_wgs
ecoli_mg1655	ecoli_mixture1_cov10000
ecoli_o121h19	ecoli_mixture1_cov10000
ecoli_0157h7	ecoli_mixture1_cov10000
ecoli_14ec020	ecoli_mixture1_cov10000
ecoli_atcc11775	ecoli_mixture1_cov10000
Acidaminococcus-fermentans-DSM-20731_MAF-2	xjin
Acidaminococcus-intestini-D21_MAF-2	xjin
Adlercreutzia-equolifaciens-DSM-19450_NCBI	xjin
Akkermansia-muciniphila-ATCC-BAA-835_MAF-2	xjin
Alistipes-finegoldii-DSM-17242_NCBI	xjin
Alistipes-ihumii-AP11_MAF-2	xjin
Alistipes-indistinctus-YIT-12060_MAF-2	xjin
Alistipes-onderdonkii-DSM-19147_MAF-2	xjin
Alistipes-putredinis-DSM-17216_MAF-2	xjin
Alistipes-senegalensis-JC50_MAF-2	xjin
Alistipes-shahii-WAL-8301_MAF-2	xjin
Anaerobutyricum-hallii-DSM-3353_MAF-2	xjin
Anaerostipes-caccae-DSM-14662_MAF-2	xjin
Anaerotruncus-colihominis-DSM-17241_MAF-2	xjin
Bacteroides-caccae-ATCC-43185_MAF-2	xjin
Bacteroides-cellulosilyticus-DSM-14838_MAF-2	xjin
Bacteroides-coprocola-DSM-17136_MAF-2	xjin
Bacteroides-coprophilus-DSM-18228_MAF-2	xjin
Bacteroides-dorei-5-1-36-D4_MAF-2	xjin
Bacteroides-dorei-DSM-17855_MAF-2	xjin
Bacteroides-eggerthii-DSM-20697_MAF-2	xjin
Bacteroides-finegoldii-DSM-17565_MAF-2	xjin
Bacteroides-fragilis-2-1-16_MAF-2	xjin
Bacteroides-fragilis-3-1-12_MAF-2	xjin
Bacteroides-intestinalis-DSM-17393_MAF-2	xjin
Bacteroides-ovatus-ATCC-8483_MAF-2	xjin
