mgen_id	mgen_group
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_tiles_k111	btheta_2strains_tiles_k111
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_tiles_k111	btheta_2strains_tiles_k111
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_wgs_reads	btheta_2strains
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_wgs_reads	btheta_2strains
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_wgs_reads	btheta_2strains_wgs
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_wgs_reads	btheta_2strains_wgs
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_wgs_reads	btheta_strain1
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_wgs_reads	btheta_strain2
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_sim_len150_seed0_cov10	btheta_2strains_sim_cov10
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_sim_len150_seed0_cov10	btheta_2strains_sim_cov10
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_sim_len150_seed0_cov10	btheta_strain1_sim_cov10
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_sim_len150_seed0_cov10	btheta_strain2_sim_cov10
watson_DA_D_10	watson_donor_a
watson_DA_D_09	watson_donor_a
watson_DA_D_08	watson_donor_a
watson_DA_D_07	watson_donor_a
watson_DA_D_04	watson_donor_a
watson_DA_D_23	watson_donor_a
watson_DA_D_22	watson_donor_a
watson_DA_D_06	watson_donor_a
watson_DA_D_03	watson_donor_a
watson_DA_D_21	watson_donor_a
watson_DA_D_24	watson_donor_a
watson_DA_D_05	watson_donor_a
watson_DA_D_20	watson_donor_a
watson_DA_D_19	watson_donor_a
watson_DA_D_18	watson_donor_a
watson_DA_D_16	watson_donor_a
watson_DA_D_15	watson_donor_a
watson_DA_D_14	watson_donor_a
watson_DA_D_17	watson_donor_a
watson_DA_D_13	watson_donor_a
watson_DA_D_12	watson_donor_a
watson_DA_D_11	watson_donor_a
watson_DA_D_02	watson_donor_a
watson_DA_D_01	watson_donor_a
watson_DA_D_10	watson_donor_a_and_r3
watson_DA_D_09	watson_donor_a_and_r3
watson_DA_D_08	watson_donor_a_and_r3
watson_DA_D_07	watson_donor_a_and_r3
watson_DA_D_04	watson_donor_a_and_r3
watson_DA_D_23	watson_donor_a_and_r3
watson_DA_D_22	watson_donor_a_and_r3
watson_DA_D_06	watson_donor_a_and_r3
watson_DA_D_03	watson_donor_a_and_r3
watson_DA_D_21	watson_donor_a_and_r3
watson_DA_D_24	watson_donor_a_and_r3
watson_DA_D_05	watson_donor_a_and_r3
watson_DA_D_20	watson_donor_a_and_r3
watson_DA_D_19	watson_donor_a_and_r3
watson_DA_D_18	watson_donor_a_and_r3
watson_DA_D_16	watson_donor_a_and_r3
watson_DA_D_15	watson_donor_a_and_r3
watson_DA_D_14	watson_donor_a_and_r3
watson_DA_D_17	watson_donor_a_and_r3
watson_DA_D_13	watson_donor_a_and_r3
watson_DA_D_12	watson_donor_a_and_r3
watson_DA_D_11	watson_donor_a_and_r3
watson_DA_D_02	watson_donor_a_and_r3
watson_DA_D_01	watson_donor_a_and_r3
watson_DA_R03_CDI_C_03_PRE	watson_donor_a_and_r3
watson_DA_R03_CDI_C_02_PRE	watson_donor_a_and_r3
watson_DA_R03_CDI_C_01_PRE	watson_donor_a_and_r3
watson_DA_R03_CDI_C_08_POST	watson_donor_a_and_r3
watson_DA_R03_CDI_C_07_POST	watson_donor_a_and_r3
watson_DA_R03_CDI_C_06_POST	watson_donor_a_and_r3
watson_DA_R03_CDI_C_05_POST	watson_donor_a_and_r3
