mgen_id	preprocessing	sra_accession	r1_path	r2_path
Bacteroides-thetaiotaomicron-1-1-6_MAF-2_wgs_reads	dedup.deadapt.qtrim	SRR24651254	raw/sra/SRR24651254_1.fq.gz	raw/sra/SRR24651254_2.fq.gz
Bacteroides-thetaiotaomicron-VPI-5482_MAF-2_wgs_reads	dedup.deadapt.qtrim	SRR24651305	raw/sra/SRR24651305_1.fq.gz	raw/sra/SRR24651305_2.fq.gz
watson_DB_R04_CDI_P_02_PRE	hfilt.dedup.deadapt.qtrim	SRR13712816	raw/sra/SRR13712816_1.fq.gz	raw/sra/SRR13712816_2.fq.gz
watson_DB_R04_CDI_P_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712817	raw/sra/SRR13712817_1.fq.gz	raw/sra/SRR13712817_2.fq.gz
watson_DB_R03_CDI_P_08_POST	hfilt.dedup.deadapt.qtrim	SRR13712818	raw/sra/SRR13712818_1.fq.gz	raw/sra/SRR13712818_2.fq.gz
watson_DB_R03_CDI_P_07_POST	hfilt.dedup.deadapt.qtrim	SRR13712819	raw/sra/SRR13712819_1.fq.gz	raw/sra/SRR13712819_2.fq.gz
watson_DB_R03_CDI_P_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712820	raw/sra/SRR13712820_1.fq.gz	raw/sra/SRR13712820_2.fq.gz
watson_DB_R03_CDI_P_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712821	raw/sra/SRR13712821_1.fq.gz	raw/sra/SRR13712821_2.fq.gz
watson_DA_D_10	hfilt.dedup.deadapt.qtrim	SRR13712822	raw/sra/SRR13712822_1.fq.gz	raw/sra/SRR13712822_2.fq.gz
watson_DB_R03_CDI_P_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712823	raw/sra/SRR13712823_1.fq.gz	raw/sra/SRR13712823_2.fq.gz
watson_DB_R03_CDI_P_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712824	raw/sra/SRR13712824_1.fq.gz	raw/sra/SRR13712824_2.fq.gz
watson_DB_R03_CDI_P_02_PRE	hfilt.dedup.deadapt.qtrim	SRR13712825	raw/sra/SRR13712825_1.fq.gz	raw/sra/SRR13712825_2.fq.gz
watson_DB_R03_CDI_P_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712826	raw/sra/SRR13712826_1.fq.gz	raw/sra/SRR13712826_2.fq.gz
watson_DB_R02_CDI_C_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712827	raw/sra/SRR13712827_1.fq.gz	raw/sra/SRR13712827_2.fq.gz
watson_DB_R02_CDI_C_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712828	raw/sra/SRR13712828_1.fq.gz	raw/sra/SRR13712828_2.fq.gz
watson_DB_R02_CDI_C_04_POST	hfilt.dedup.deadapt.qtrim	SRR13712829	raw/sra/SRR13712829_1.fq.gz	raw/sra/SRR13712829_2.fq.gz
watson_DB_R02_CDI_C_03_POST	hfilt.dedup.deadapt.qtrim	SRR13712830	raw/sra/SRR13712830_1.fq.gz	raw/sra/SRR13712830_2.fq.gz
watson_DB_R02_CDI_C_02_PRE	hfilt.dedup.deadapt.qtrim	SRR13712831	raw/sra/SRR13712831_1.fq.gz	raw/sra/SRR13712831_2.fq.gz
watson_DB_R02_CDI_C_01_PRE	hfilt.dedup.deadapt.qtrim	SRR13712832	raw/sra/SRR13712832_1.fq.gz	raw/sra/SRR13712832_2.fq.gz
watson_DA_D_09	hfilt.dedup.deadapt.qtrim	SRR13712833	raw/sra/SRR13712833_1.fq.gz	raw/sra/SRR13712833_2.fq.gz
watson_DB_R01_CDI_C_07_POST	hfilt.dedup.deadapt.qtrim	SRR13712834	raw/sra/SRR13712834_1.fq.gz	raw/sra/SRR13712834_2.fq.gz
watson_DB_R01_CDI_C_06_POST	hfilt.dedup.deadapt.qtrim	SRR13712835	raw/sra/SRR13712835_1.fq.gz	raw/sra/SRR13712835_2.fq.gz
watson_DB_R01_CDI_C_05_POST	hfilt.dedup.deadapt.qtrim	SRR13712836	raw/sra/SRR13712836_1.fq.gz	raw/sra/SRR13712836_2.fq.gz
